idLeitura,tipoMaquina,descricao,valor,metrica,dataleitura,minimo,maximo
977,Servidor,"Memoria uso %",52.60,%,2020-10-20,19,26
978,Servidor,"Memoria uso GB",8.40,GB,2020-10-20,19,26
979,Servidor,"Memoria livre GB",7.60,GB,2020-10-20,19,26
980,Servidor,"Disco uso %",57.20,%,2020-10-20,19,26
981,Servidor,"Disco temperatura",33.00,°C,2020-10-20,19,26
982,Servidor,"Core 1",3905.40,MHz,2020-10-20,19,26
983,Servidor,"Core 1",50.00,°C,2020-10-20,19,26
984,Servidor,"Core 1",8.60,%,2020-10-20,19,26
985,Servidor,"Core 2",3905.40,MHz,2020-10-20,19,26
986,Servidor,"Core 2",47.00,°C,2020-10-20,19,26
987,Servidor,"Core 2",17.20,%,2020-10-20,19,26
988,Servidor,"Core 3",3905.40,MHz,2020-10-20,19,26
989,Servidor,"Core 3",45.00,°C,2020-10-20,19,26
990,Servidor,"Core 3",9.40,%,2020-10-20,19,26
991,Servidor,"Core 4",3905.40,MHz,2020-10-20,19,26
992,Servidor,"Core 4",46.00,°C,2020-10-20,19,26
993,Servidor,"Core 4",0.00,%,2020-10-20,19,26
994,Servidor,"Core 5",3905.40,MHz,2020-10-20,19,26
995,Servidor,"Core 5",44.00,°C,2020-10-20,19,26
996,Servidor,"Core 5",6.30,%,2020-10-20,19,26
997,Servidor,"Core 6",3905.40,MHz,2020-10-20,19,26
998,Servidor,"Core 6",47.00,°C,2020-10-20,19,26
999,Servidor,"Core 6",7.80,%,2020-10-20,19,26
1161,Servidor,"Memoria uso %",52.50,%,2020-10-20,19,26
1162,Servidor,"Memoria uso GB",8.40,GB,2020-10-20,19,26
1163,Servidor,"Memoria livre GB",7.60,GB,2020-10-20,19,26
1164,Servidor,"Disco uso %",57.20,%,2020-10-20,19,26
1165,Servidor,"Disco temperatura",33.00,°C,2020-10-20,19,26
1166,Servidor,"Core 1",3905.40,MHz,2020-10-20,19,26
1167,Servidor,"Core 1",50.00,°C,2020-10-20,19,26
1168,Servidor,"Core 1",18.50,%,2020-10-20,19,26
1169,Servidor,"Core 2",3905.40,MHz,2020-10-20,19,26
1170,Servidor,"Core 2",50.00,°C,2020-10-20,19,26
1171,Servidor,"Core 2",31.30,%,2020-10-20,19,26
1172,Servidor,"Core 3",3905.40,MHz,2020-10-20,19,26
1173,Servidor,"Core 3",49.00,°C,2020-10-20,19,26
1174,Servidor,"Core 3",17.20,%,2020-10-20,19,26
1175,Servidor,"Core 4",3905.40,MHz,2020-10-20,19,26
1176,Servidor,"Core 4",48.00,°C,2020-10-20,19,26
1177,Servidor,"Core 4",14.10,%,2020-10-20,19,26
1178,Servidor,"Core 5",3905.40,MHz,2020-10-20,19,26
1179,Servidor,"Core 5",46.00,°C,2020-10-20,19,26
1180,Servidor,"Core 5",18.80,%,2020-10-20,19,26
1181,Servidor,"Core 6",3905.40,MHz,2020-10-20,19,26
1182,Servidor,"Core 6",47.00,°C,2020-10-20,19,26
1183,Servidor,"Core 6",10.90,%,2020-10-20,19,26
1529,Servidor,"Memoria uso %",51.50,%,2020-10-20,19,26
1530,Servidor,"Memoria uso GB",8.20,GB,2020-10-20,19,26
1531,Servidor,"Memoria livre GB",7.70,GB,2020-10-20,19,26
1532,Servidor,"Disco uso %",57.20,%,2020-10-20,19,26
1533,Servidor,"Disco temperatura",33.00,°C,2020-10-20,19,26
1534,Servidor,"Core 1",3905.40,MHz,2020-10-20,19,26
1535,Servidor,"Core 1",51.00,°C,2020-10-20,19,26
1536,Servidor,"Core 1",12.80,%,2020-10-20,19,26
1537,Servidor,"Core 2",3905.40,MHz,2020-10-20,19,26
1538,Servidor,"Core 2",48.00,°C,2020-10-20,19,26
1539,Servidor,"Core 2",21.90,%,2020-10-20,19,26
1540,Servidor,"Core 3",3905.40,MHz,2020-10-20,19,26
1541,Servidor,"Core 3",48.00,°C,2020-10-20,19,26
1542,Servidor,"Core 3",9.40,%,2020-10-20,19,26
1543,Servidor,"Core 4",3905.40,MHz,2020-10-20,19,26
1544,Servidor,"Core 4",46.00,°C,2020-10-20,19,26
1545,Servidor,"Core 4",12.50,%,2020-10-20,19,26
1546,Servidor,"Core 5",3905.40,MHz,2020-10-20,19,26
1547,Servidor,"Core 5",45.00,°C,2020-10-20,19,26
1548,Servidor,"Core 5",9.40,%,2020-10-20,19,26
1549,Servidor,"Core 6",3905.40,MHz,2020-10-20,19,26
1550,Servidor,"Core 6",47.00,°C,2020-10-20,19,26
1551,Servidor,"Core 6",6.30,%,2020-10-20,19,26
1621,Servidor,"Memoria uso %",51.60,%,2020-10-20,19,26
1622,Servidor,"Memoria uso GB",8.20,GB,2020-10-20,19,26
1623,Servidor,"Memoria livre GB",7.70,GB,2020-10-20,19,26
1624,Servidor,"Disco uso %",57.20,%,2020-10-20,19,26
1625,Servidor,"Disco temperatura",33.00,°C,2020-10-20,19,26
1626,Servidor,"Core 1",3905.40,MHz,2020-10-20,19,26
1627,Servidor,"Core 1",47.00,°C,2020-10-20,19,26
1628,Servidor,"Core 1",17.40,%,2020-10-20,19,26
1629,Servidor,"Core 2",3905.40,MHz,2020-10-20,19,26
1630,Servidor,"Core 2",48.00,°C,2020-10-20,19,26
1631,Servidor,"Core 2",23.40,%,2020-10-20,19,26
1632,Servidor,"Core 3",3905.40,MHz,2020-10-20,19,26
1633,Servidor,"Core 3",49.00,°C,2020-10-20,19,26
1634,Servidor,"Core 3",14.10,%,2020-10-20,19,26
1635,Servidor,"Core 4",3905.40,MHz,2020-10-20,19,26
1636,Servidor,"Core 4",45.00,°C,2020-10-20,19,26
1637,Servidor,"Core 4",14.10,%,2020-10-20,19,26
1638,Servidor,"Core 5",3905.40,MHz,2020-10-20,19,26
1639,Servidor,"Core 5",45.00,°C,2020-10-20,19,26
1640,Servidor,"Core 5",17.20,%,2020-10-20,19,26
1641,Servidor,"Core 6",3905.40,MHz,2020-10-20,19,26
1642,Servidor,"Core 6",47.00,°C,2020-10-20,19,26
1643,Servidor,"Core 6",14.10,%,2020-10-20,19,26
1667,Servidor,"Memoria uso %",51.60,%,2020-10-20,19,26
1668,Servidor,"Memoria uso GB",8.20,GB,2020-10-20,19,26
1669,Servidor,"Memoria livre GB",7.70,GB,2020-10-20,19,26
1670,Servidor,"Disco uso %",57.20,%,2020-10-20,19,26
1671,Servidor,"Disco temperatura",33.00,°C,2020-10-20,19,26
1672,Servidor,"Core 1",3905.40,MHz,2020-10-20,19,26
1673,Servidor,"Core 1",47.00,°C,2020-10-20,19,26
1674,Servidor,"Core 1",14.30,%,2020-10-20,19,26
1675,Servidor,"Core 2",3905.40,MHz,2020-10-20,19,26
1676,Servidor,"Core 2",47.00,°C,2020-10-20,19,26
1677,Servidor,"Core 2",28.10,%,2020-10-20,19,26
1678,Servidor,"Core 3",3905.40,MHz,2020-10-20,19,26
1679,Servidor,"Core 3",45.00,°C,2020-10-20,19,26
1680,Servidor,"Core 3",10.90,%,2020-10-20,19,26
1681,Servidor,"Core 4",3905.40,MHz,2020-10-20,19,26
1682,Servidor,"Core 4",45.00,°C,2020-10-20,19,26
1683,Servidor,"Core 4",4.70,%,2020-10-20,19,26
1684,Servidor,"Core 5",3905.40,MHz,2020-10-20,19,26
1685,Servidor,"Core 5",44.00,°C,2020-10-20,19,26
1686,Servidor,"Core 5",14.10,%,2020-10-20,19,26
1687,Servidor,"Core 6",3905.40,MHz,2020-10-20,19,26
1688,Servidor,"Core 6",48.00,°C,2020-10-20,19,26
1689,Servidor,"Core 6",6.30,%,2020-10-20,19,26
1759,Servidor,"Memoria uso %",51.70,%,2020-10-20,19,26
1760,Servidor,"Memoria uso GB",8.20,GB,2020-10-20,19,26
1761,Servidor,"Memoria livre GB",7.70,GB,2020-10-20,19,26
1762,Servidor,"Disco uso %",57.20,%,2020-10-20,19,26
1763,Servidor,"Disco temperatura",33.00,°C,2020-10-20,19,26
1764,Servidor,"Core 1",3905.40,MHz,2020-10-20,19,26
1765,Servidor,"Core 1",50.00,°C,2020-10-20,19,26
1766,Servidor,"Core 1",19.30,%,2020-10-20,19,26
1767,Servidor,"Core 2",3905.40,MHz,2020-10-20,19,26
1768,Servidor,"Core 2",50.00,°C,2020-10-20,19,26
1769,Servidor,"Core 2",20.30,%,2020-10-20,19,26
1770,Servidor,"Core 3",3905.40,MHz,2020-10-20,19,26
1771,Servidor,"Core 3",50.00,°C,2020-10-20,19,26
1772,Servidor,"Core 3",26.60,%,2020-10-20,19,26
1773,Servidor,"Core 4",3905.40,MHz,2020-10-20,19,26
1774,Servidor,"Core 4",48.00,°C,2020-10-20,19,26
1775,Servidor,"Core 4",7.80,%,2020-10-20,19,26
1776,Servidor,"Core 5",3905.40,MHz,2020-10-20,19,26
1777,Servidor,"Core 5",47.00,°C,2020-10-20,19,26
1778,Servidor,"Core 5",23.40,%,2020-10-20,19,26
1779,Servidor,"Core 6",3905.40,MHz,2020-10-20,19,26
1780,Servidor,"Core 6",48.00,°C,2020-10-20,19,26
1781,Servidor,"Core 6",10.90,%,2020-10-20,19,26
21470,Servidor,"Memoria uso %",55.40,%,2020-10-20,19,26
21471,Servidor,"Memoria uso GB",8.80,GB,2020-10-20,19,26
21472,Servidor,"Memoria livre GB",7.10,GB,2020-10-20,19,26
21473,Servidor,"Disco uso %",57.20,%,2020-10-20,19,26
21474,Servidor,"Disco temperatura",33.00,°C,2020-10-20,19,26
21475,Servidor,"Core 1",3905.40,MHz,2020-10-20,19,26
21476,Servidor,"Core 1",46.00,°C,2020-10-20,19,26
21477,Servidor,"Core 1",13.00,%,2020-10-20,19,26
21478,Servidor,"Core 2",3905.40,MHz,2020-10-20,19,26
21479,Servidor,"Core 2",47.00,°C,2020-10-20,19,26
21480,Servidor,"Core 2",23.40,%,2020-10-20,19,26
21481,Servidor,"Core 3",3905.40,MHz,2020-10-20,19,26
21482,Servidor,"Core 3",45.00,°C,2020-10-20,19,26
21483,Servidor,"Core 3",20.30,%,2020-10-20,19,26
21484,Servidor,"Core 4",3905.40,MHz,2020-10-20,19,26
21485,Servidor,"Core 4",44.00,°C,2020-10-20,19,26
21486,Servidor,"Core 4",9.40,%,2020-10-20,19,26
21487,Servidor,"Core 5",3905.40,MHz,2020-10-20,19,26
21488,Servidor,"Core 5",43.00,°C,2020-10-20,19,26
21489,Servidor,"Core 5",4.70,%,2020-10-20,19,26
21490,Servidor,"Core 6",3905.40,MHz,2020-10-20,19,26
21491,Servidor,"Core 6",45.00,°C,2020-10-20,19,26
21492,Servidor,"Core 6",12.50,%,2020-10-20,19,26
21493,Servidor,"Memoria uso %",55.40,%,2020-10-20,19,26
21494,Servidor,"Memoria uso GB",8.80,GB,2020-10-20,19,26
21495,Servidor,"Memoria livre GB",7.10,GB,2020-10-20,19,26
21496,Servidor,"Disco uso %",57.20,%,2020-10-20,19,26
21497,Servidor,"Disco temperatura",33.00,°C,2020-10-20,19,26
21498,Servidor,"Core 1",3905.40,MHz,2020-10-20,19,26
21499,Servidor,"Core 1",46.00,°C,2020-10-20,19,26
21500,Servidor,"Core 1",13.00,%,2020-10-20,19,26
21501,Servidor,"Core 2",3905.40,MHz,2020-10-20,19,26
21502,Servidor,"Core 2",46.00,°C,2020-10-20,19,26
21503,Servidor,"Core 2",12.50,%,2020-10-20,19,26
21504,Servidor,"Core 3",3905.40,MHz,2020-10-20,19,26
21505,Servidor,"Core 3",45.00,°C,2020-10-20,19,26
21506,Servidor,"Core 3",14.10,%,2020-10-20,19,26
21507,Servidor,"Core 4",3905.40,MHz,2020-10-20,19,26
21508,Servidor,"Core 4",44.00,°C,2020-10-20,19,26
21509,Servidor,"Core 4",6.30,%,2020-10-20,19,26
21510,Servidor,"Core 5",3905.40,MHz,2020-10-20,19,26
21511,Servidor,"Core 5",45.00,°C,2020-10-20,19,26
21512,Servidor,"Core 5",9.40,%,2020-10-20,19,26
21513,Servidor,"Core 6",3905.40,MHz,2020-10-20,19,26
21514,Servidor,"Core 6",45.00,°C,2020-10-20,19,26
21515,Servidor,"Core 6",18.80,%,2020-10-20,19,26
21539,Servidor,"Memoria uso %",55.50,%,2020-10-20,19,26
21540,Servidor,"Memoria uso GB",8.80,GB,2020-10-20,19,26
21541,Servidor,"Memoria livre GB",7.10,GB,2020-10-20,19,26
21542,Servidor,"Disco uso %",57.20,%,2020-10-20,19,26
21543,Servidor,"Disco temperatura",33.00,°C,2020-10-20,19,26
21544,Servidor,"Core 1",3905.40,MHz,2020-10-20,19,26
21545,Servidor,"Core 1",47.00,°C,2020-10-20,19,26
21546,Servidor,"Core 1",17.70,%,2020-10-20,19,26
21547,Servidor,"Core 2",3905.40,MHz,2020-10-20,19,26
21548,Servidor,"Core 2",47.00,°C,2020-10-20,19,26
21549,Servidor,"Core 2",31.30,%,2020-10-20,19,26
21550,Servidor,"Core 3",3905.40,MHz,2020-10-20,19,26
21551,Servidor,"Core 3",45.00,°C,2020-10-20,19,26
21552,Servidor,"Core 3",20.30,%,2020-10-20,19,26
21553,Servidor,"Core 4",3905.40,MHz,2020-10-20,19,26
21554,Servidor,"Core 4",45.00,°C,2020-10-20,19,26
21555,Servidor,"Core 4",9.40,%,2020-10-20,19,26
21556,Servidor,"Core 5",3905.40,MHz,2020-10-20,19,26
21557,Servidor,"Core 5",46.00,°C,2020-10-20,19,26
21558,Servidor,"Core 5",9.40,%,2020-10-20,19,26
21559,Servidor,"Core 6",3905.40,MHz,2020-10-20,19,26
21560,Servidor,"Core 6",46.00,°C,2020-10-20,19,26
21561,Servidor,"Core 6",15.60,%,2020-10-20,19,26
